Feature,Importance
PubchemFP219,0.00021713655295374122
PubchemFP531,0.00021512894942598014
PubchemFP641,0.00021299228447578013
PubchemFP422,0.00021282832719727806
PubchemFP833,0.000210487889504708
PubchemFP720,0.00020689663761410708
PubchemFP419,0.00020399929532116494
PubchemFP497,0.00020052671107067177
PubchemFP519,0.00019920972769488736
PubchemFP804,0.0001979537272657186
PubchemFP178,0.0001931138730092368
PubchemFP820,0.00019117211373883663
PubchemFP640,0.00018561896943541006
PubchemFP394,0.0001849981905683743
PubchemFP587,0.00018344454509114385
PubchemFP115,0.00018264635445126712
PubchemFP791,0.00018167649712101853
PubchemFP722,0.00018073521032965596
PubchemFP484,0.0001786577429842921
PubchemFP582,0.00017598834313023014
PubchemFP568,0.00017127073096848803
PubchemFP792,0.00016933188878317688
PubchemFP609,0.00016811776319060212
PubchemFP530,0.00016763275585506034
PubchemFP482,0.00016458567793089995
PubchemFP840,0.00016295133859601255
PubchemFP488,0.00016283439352723808
PubchemFP429,0.00016281647672548982
PubchemFP327,0.00016240333077642295
PubchemFP545,0.00015934640958856404
PubchemFP494,0.00015543315075096733
PubchemFP728,0.0001545581360655451
PubchemFP404,0.00015217085563560363
PubchemFP524,0.00015150635605428123
PubchemFP783,0.00015122803986683766
PubchemFP729,0.0001489153211590529
PubchemFP500,0.00014609108822199313
PubchemFP496,0.00014274878533528503
PubchemFP480,0.00014071408108622262
PubchemFP343,0.00013852644638357128
PubchemFP471,0.00013845984645200255
PubchemFP466,0.0001345819198479323
PubchemFP30,0.00013376410900228615
PubchemFP371,0.00013263930754529196
PubchemFP14,0.00013163757222955913
PubchemFP834,0.00012797275439738716
PubchemFP677,0.00012647862276662892
PubchemFP436,0.0001253610110729629
PubchemFP473,0.00011965120860974433
PubchemFP218,0.0001186699656144272
PubchemFP43,0.00011333648627263112
PubchemFP709,0.0001133002911637446
PubchemFP285,0.00011255239998302748
PubchemFP618,0.00011210140501995139
PubchemFP129,0.00011081868127216643
PubchemFP448,0.00010981844437925736
PubchemFP262,0.00010939115894796202
PubchemFP255,0.00010499927620883564
PubchemFP151,0.00010487584357585759
PubchemFP770,0.00010484047366185475
PubchemFP297,0.00010378472403162865
PubchemFP781,0.00010359308257090204
PubchemFP189,9.757387952287915e-05
PubchemFP296,9.605961372023625e-05
PubchemFP330,9.430851960995071e-05
PubchemFP446,9.403442015047965e-05
PubchemFP793,9.268632851076589e-05
PubchemFP229,9.185313490546346e-05
PubchemFP675,9.148580208783022e-05
PubchemFP66,9.09002428338358e-05
PubchemFP351,8.786166441325844e-05
PubchemFP749,8.55614132816712e-05
PubchemFP11,8.517367397135368e-05
PubchemFP670,8.263908224268034e-05
PubchemFP561,8.177168881771877e-05
PubchemFP25,8.037973019978533e-05
PubchemFP361,8.018128940544451e-05
PubchemFP207,7.909079746523669e-05
PubchemFP474,7.847915020873161e-05
PubchemFP227,7.660161447095549e-05
PubchemFP718,7.639850074013897e-05
PubchemFP554,7.618739302321713e-05
PubchemFP230,7.437871840811708e-05
PubchemFP730,7.434972219270263e-05
